As a first year researcher...,institute,first year, second year,alumnus,feedback provider,total
I need a library of references,3,1,1,4,2,11
"I need general info on the course in a general space (a reading list, schedule etc)",3,1,0,4,1,9
I need to be able to easily present my research (e.g. for an exam),2,1,1,3,1,8
I need to be able to quickly capture ideas so that I don’t have to think about it anymore,2,1,1,1,2,7
I need to be able to restructure in order for the research to evolve,2,0,1,1,3,7
I need to be able to store everything in one place so that I can find it easily,2,1,0,1,2,6
I need to be able to structure in order to get an overview,2,0,0,1,3,6
I need to be in control of who has access so that I feel comfortable to try out things,1,0,1,2,2,6
I need to be able to see everything at once in order to find focus,2,0,0,1,2,5
I need the platform to be very accessible / easy to use so that I can easily incorporate it in my daily routine,0,2,1,1,1,5
I need to be able to get feedback from others (peers/mentors/externals) in order to learn,0,1,1,2,1,5
I need to be able to start over with a blank page in order for the research to evolve,0,0,0,4,0,4
I need the platform to complement the tools I already use (not to be a third inbox),1,0,1,1,1,4
I need to be able to see my research (material) from a different angle in order for it to evolve (a.i. perspective),1,0,0,2,0,3
I need to be able to revisit my previous thoughts in order to look at it from a different perspective,2,0,0,1,0,3
I need to be able to see what has been done before in order to build on the past,0,0,0,1,1,2
"I need to be able to organise my material in different visual ways (a wall, stream, grid…)",0,0,0,0,2,2
I need to be able to give feedback on others,0,0,0,1,0,1
I need to have full control on how my research looks,1,0,0,0,0,1
