As a second year researcher...,institute,first year, second year,alumnus,feedback provider,total
I need to show my research for it to exist beyond the academy,3,1,1,5,2,12
I need to have full control on how my research looks,3,1,1,2,2,9
I need to be able to get feedback from others (peers/mentors/externals) in order to learn,2,1,1,3,1,8
I need to be in control of who has access so that I feel comfortable to try out things,3,0,1,2,2,8
"I need to be able to organise my material in different visual ways (a wall, stream, grid…)",2,1,0,3,2,8
I need to be able to revisit my previous thoughts in order to look at it from a different perspective,1,1,0,3,2,7
I need to be able to store everything in one place so that I can find it easily,1,0,0,3,1,5
I need the platform to be very accessible /easy to use so that I can easily incorporate it in my daily routine,1,0,0,1,3,5
I need to be able to find (potential) collaborators,1,1,0,2,1,5
I need the platform to complement the tools I already use (not to be a third inbox),1,0,1,0,1,3
I need to be able to give feedback on others,0,0,1,0,0,1
I need referencing to places outside the platform,0,0,0,0,1,1
