As a feedback provider...,institute,first year, second year,alumnus,feedback provider,total
"I need to be able to navigate between different researches, researchers and topics easily",3,1,1,5,3,13
I need to be able to quickly see the current status of a research,3,1,1,4,3,12
I need indications from researchers what to consider and how,1,0,2,1,2,6
I need to be able to browse all the research that has been done,2,1,0,1,2,6
I need to be able to follow each step taken in a research,2,1,1,2,0,6
I need to be able to search what has been done before,1,0,0,1,3,5
I need to be able to give precise feedback (a specific sentence / moment),0,1,0,3,0,4
I need to be able to request access,0,0,0,2,1,3
I need a central portal where I can effectively communicate with all researchers,2,0,0,0,1,3
I need a concrete question in order to give good feedback,1,0,0,0,1,2
I need the research material to be edited in order to give good feedback,0,0,0,1,0,1
I need to be able to record my feedback as audio along video,0,0,0,1,0,1
I need to be able to find contact information,0,0,0,0,0,0
