As an institute...,institute,first year, second year,alumnus,feedback provider,total
we need to keep track of our collective knowledge,3,1,1,8,4,17
we need to create a community (beyond the program),3,1,1,7,0,12
"we need to archive the different stages of a research project, including all its audiovisual material, in order to preserve it",3,2,0,3,1,9
we need our researchers to be able to exchange knowledge,3,0,1,2,3,9
we need to provide appropriate work environment for researchers,3,1,1,2,2,9
we need to be able to provide an overview of the different outcomes (people + process),3,1,0,1,1,6
we need to able to explain by example what we do and how we do it,1,0,1,0,3,5
we need to able to show what we do to accreditors,0,0,1,1,1,3
we need the research (in progress) to be presented in a way that it’s clear for external examiners,0,0,0,0,2,2
"we need to have a calendar with events from the institute, researchers and the alumni",0,0,0,0,1,1
we need to be able to share the exam material with examiners,0,0,0,1,0,1
we need to be able to export (parts) of the platform,0,0,0,0,0,0
we need to be able to keep track of the progress,0,0,0,0,0,0
we need to be able to easily gather exam material,0,0,0,0,0,0
we need to have an overview of the submitted exam material,0,0,0,0,0,0
we need to make sure that exam material can’t be changed after it’s submitted so that it will never get lost,0,0,0,0,0,0
